id;Category;Parent;Get
3259;Бендиксы;3184;1
3258;Маховики;3184;1
3205;Выпрямители;3184;1
3204;Провода электрические;3184;1
3203;Разное (запуск и электрооборудование);3184;1
3202;Реле, предохранители, датчики;3184;1
3201;Реле стартера;3184;1
3200;Ручной стартер и детали;3184;1
3238;Детали ручных стартеров;3200;1
3237;Ручной стартер в сборе;3200;1
3199;Электростартеры;3184;1
3183;Система топливная;2942;1
3400;Топливные насосы;3183;1
3294;Тросы подсоса;3183;1
3273;Топливные фильтры;3183;1
3182;Трансмиссия, детали;2942;1
3292;Прокладки и уплотнения трансмиссии;3182;1
3198;Валы трансмиссии;3182;1
3197;Детали трансмиссии;3182;1
3196;Подшипники трансмиссии;3182;1
3195;Шестерни трансмиссии;3182;1
3173;Система тормозная;2942;1
3169;Система выхлопная;2942;1
3287;Трубы, патрубки;3169;1
3212;Выхлоп в сборе;3169;1
3211;Прокладки, гофры, уплотнения;3169;1
3210;Пружины;3169;1
3167;Детали цилиндро-поршневой группы;2942;1
3225;Вкладыши;3167;1
3224;Гильзы цилиндра;3167;1
3223;Коленчатый вал, детали;3167;1
3265;Детали коленчатого вала;3223;1
3247;Втулки, гайки, шпонки коленчатого вала;3223;1
3246;Коленчатый вал в сборе;3223;1
3245;Кривошипы (щеки);3223;1
3244;Лабиринтные уплотнения;3223;1
3222;Цилиндры, блоки , детали;3167;1
3221;Подшипники коленчатого вала;3167;1
3220;Поршни, поршневые комплекты, кольца поршневые;3167;1
3243;Кольца поршневые;3220;1
3242;Пальцы поршневые;3220;1
3241;Поршневые комплекты;3220;1
3240;Поршни;3220;1
3239;Стопоры поршневого пальца;3220;1
3219;Шатуны, пальцы, подшипники, шатунные комплекты;3167;1
3277;Шайбы шатуна;3219;1
2907;Комплектующие;;1
3138;Транцевые колеса;2907;1
2933;Весла;2907;1
2932;Гидрокрылья;2907;1
2931;Дистанционное управление двигателем;2907;1
2986;Гидравлическая система;2931;1
2985;Комплект рулевого управления;2931;1
2984;Наконечники;2931;1
2983;Пульт ДУ, детали;2931;1
2982;Редуктор рулевой;2931;1
2981;Руль;2931;1
2980;Троса газ, реверс;2931;1
2979;Трос рулевого управления;2931;1
2978;Тяги рулевые, крепления;2931;1
2977;Установочный комплект д/у;2931;1
2930;Жилеты спасательные;2907;1
2929;Кранец;2907;1
2928;Насосы для лодок ПВХ;2907;1
2927;Огни ходовые;2907;1
2926;Подставки под удочку;2907;1
2925;Помпа осушительная;2907;1
2976;Крыльчатки, шпонки;2925;1
2924;Приборы;2907;1
3403;Компас;2924;1
2975;Датчики давления масла;2924;1
2974;Датчики температуры;2924;1
2973;Датчики топлива;2924;1
2972;Индикаторы;2924;1
2971;Панели приборов и кнопки;2924;1
2970;Спидометры;2924;1
2969;Тахометры;2924;1
2968;Универсальные приборы;2924;1
2967;Уровни топлива;2924;1
2923;Прочие комплектующие;2907;1
2922;Рулевые консоли;2907;1
2921;Сиденья и комплектующие к ним;2907;1
2920;Топливные аксессуары;2907;1
2966;Бак топливный;2920;1
2965;Комплект подачи топлива, груша;2920;1
2964;Коннектор топливный;2920;1
2963;Крышка топливного бака;2920;1
2962;Разные топливные аксессуары;2920;1
2961;Фильтр-сепаратор (Выносной);2920;1
2960;Шланг топливный;2920;1
2919;Утки швартовые;2907;1
2918;Якорные лебедки;2907;1
2917;Якоря;2907;1
2906;Расходные материалы;;1
3163;х Прочее х;2906;1
2916;Масло для двухтактных двигателей;2906;1
2915;Масло для четырехтактных двигателей;2906;1
2914;Свечи для двухтактных двигателей;2906;1
2913;Свечи для четырехтактных двигателей;2906;1
2912;Трансмиссионные масла и смазочные материалы;2906;1
2911;Фильтры масляные;2906;1
2910;Фильтры топливные;2906;1
3267;Товары для активного отдыха;;1
